600,Ashton,Kutcher,325 366 435 735 761 880 883 1322 1535 1720 1843 2368
601,Ashton,Sanders,3249 3581
602,Ashutosh,Rana,3527
603,Asia,Argento,52 516 728 1190 2141
604,Asia,Ortega,3714
605,Asier,Etxeandia,3583
606,Asin,Thottumkal,1374
607,Asjha,Cooper,3980
608,Astrid,Bergès-Frisbey,2154 2482 3039 3873
609,Atossa,Leoni,1146
610,Atsuko,Tanaka,599
611,Attila,Borlan,2319
612,Aubrey,Plaza,2097 2204 2598 2888 2912 3088 3102 3689
613,Audrey,Fleurot,1814
614,Audrey,Tautou,111 149 497 697 838
615,August,Diehl,3553
616,Auli'i,Cravalho,2805
617,Aunjanue,Ellis-Taylor,144 3911
618,Aura,Garrido,2085 3140
619,Aurélien,Recoing,2214
620,Aurélien,Wiik,1143
621,Austin,Abrams,2721 3539 3796
622,Austin,Nichols,946
623,Austin,Rogers,998
624,Austin,Stout,152
625,Austin,Stowell,2969 3554 3683 3935
626,Austyn,Johnson,3924
627,Autumn,Federici,2708
628,Ava,Carpinello,2558
629,Ava,Cooper,3081
630,Ava,Michelle,3571
631,Avery,Tiiu Essex,3662
632,Avery,Whitted,3517
633,Awkwafina,,3594 3837 3863
634,Axelle,Laffont,3292
635,Aya,Endô,3974
636,Aya,Okamoto,345
637,Ayaka,Maeda,176
638,Ayaka,Onoue,1097
639,Ayami,Kakiuchi,973
640,Ayana,Sakai,400
641,Ayane,Sakura,1994
642,Ayelet,Zurer,1454
643,Ayu,Kitaura,555
644,Ayumi,Ito,786
645,Azhy,Robertson,3450 3675
646,Azie,Tesfai,3575
647,Aziz,Ansari,1952 2081
648,Bae,Doona,88 836
649,Bahar,Pars,2632
650,Bahar,Soomekh,855
651,Bai,Ling,393
652,Bailee,Madison,1796
653,Bailey,Anne Borders,2866
654,Bailey,Noble,2780
655,Bala,,2586
656,Balthazar,Getty,713
657,Banks,Repeta,3619
658,Barbara,Flynn,921
659,Bárbara,Goenaga,1136
660,Barbara,Hershey,2314
661,Bárbara,Lennie,2860
662,Barbara,Marten,3794
663,Barbara,Nedeljakova,628
664,Barbara,Niven,2158
665,Barbie,Ferreira,3780
666,Barkhad,Abdi,2256 2727
667,Barkhad,Abdirahman,2256
668,Barnaby,Thompson,1123
669,Barney,Clark,741
670,Barry,G. Bernson,3031
671,Barry,Humphries,1494
672,Barry,Keoghan,3020
673,Barry,Pepper,78 792 895 3509
674,Barry,Watson,153 767
675,Bartosz,Bielenia,3600
676,Baykali,Ganambarr,3295
677,Beanie,Feldstein,3479 3943
678,Béatrice,Dalle,390
679,Beau,Bridges,1281 3142
680,Beau,Gadsdon,3286
681,Beau,Knapp,2534
682,Bebe,Rexha,3891
683,Bee,Vang,1211
684,Bel,Powley,2715 2771 3255 3645
685,Belén,Fabra,1250 3725
686,Belén,Rueda,547 1084 2085
687,Bella,Heathcote,2891 3191
688,Bella,Thorne,2683 3187 3388
689,Ben,Affleck,68 140 236 293 307 471 980 1486 1555 1607 1774 2015 2120 2408 2835 2852 2882 2930 3041 3435 3621 3771 3828 3929
690,Ben,Barnes,1227 1387 1476 1629 2498
691,Ben,Begley,2577
692,Ben,Best,985
693,Ben,Burtt,1214
694,Ben,Caplan,3756
695,Ben,Chaplin,56
696,Ben,Davies,2993
697,Ben,Feldman,2466
698,Ben,Foster,331 1042 1043 1464 1887 2247 2337 2828 2839 2859 2962 3151 3340
699,Ben,Hardy,3213 3436 3819
700,Ben,Huber,2590
701,Ben,Kingsley,306 548 558 717 741 793 856 1098 1605 1651 1865 2050 2406 2597 2726 2861 3169 3271 3334 3837
702,Ben,Lloyd-Hughes,3348
703,Ben,McKenzie,1162
704,Ben,Mendelsohn,1949 2567 3051 3203 3264 3415 3981
705,Ben,Messmer,1069
706,Ben,Miller,495 3353
707,Ben,Oxenbould,1133
708,Ben,Platt,3939
709,Ben,Schnetzer,2283
710,Ben,Schwartz,3609
711,Ben,Stiller,375 421 466 473 501 568 625 829 1112 1210 1274 1466 1694 1746 1882 2068 2087 2244 2465 2926
712,Ben,Tibber,350
713,Ben,Van den Heuvel,1989
714,Ben,Walker,783 1041
715,Ben,Weaver,2196
716,Ben,Whishaw,839 1104 1566 2654 2697 3044 3287
717,Benedict,Cumberbatch,1917 2269 2423 2687 2845 3192 3313 3381 3666 3804 3848 3972
718,Benedict,Wong,2351 2845 3211 3489 3787
719,Benicio,Del Toro,274 275 1735 2049 2611 3246 3813 3918
720,Benjamin,Bratt,479 782 2278 3028
721,Benjamin,Flores Jr.,3917
722,Benjamin,Hollingsworth,1572
723,Benjamin,Lavernhe,3473
724,Benjamin,Salisbury,129
725,Benjamin,Voisin,3757
726,Benjamin,Walker,2084 2901
727,Benjamin,Wilkinson,1942
728,Benno,Fürmann,386
729,Benny,Safdie,3066
730,Benoît,Poelvoorde,1344
731,Berant,Zhu,3883
732,Bérénice,Bejo,1893
733,Bernard,Farcy,393
734,Bernat,Saumell,1597
735,Bernie,Mac,262 304 735
736,Bertie,Carvel,3901
737,Besedka,Johnson,2156
738,Beth,Grant,3866
739,Beth,Moore,2765
740,Betsy,Rue,1530 2536
741,Betsy,Russell,1285 1498 1674
742,Bette,Midler,500 2152
743,Betty,Aberlin,471
744,Betty,Gilpin,3618 3844
745,Beulah,Koale,3748
746,Beverley,Mitchell,631
747,Beverly,Todd,1079
748,Beyoncé,,27 321 890 1375 1495 2328 3416
749,Bhoomika,Chawla,364
750,Bianca,A. Santos,2523
751,Bianca,Kajlich,64
752,Bibi,Naceri,564
753,Big,Boi,996
754,Bijou,Phillips,715 798 1057
755,Bilall,Fallah,3651
756,Bill,Camp,2075 3031 3362
757,Bill,Cobbs,919
758,Bill,Duke,317
759,Bill,Fagerbakke,2741 3747
760,Bill,Hader,1002 1450 2204 2323 2559 2617 2652 3428 3552
761,Bill,Melendez,2789
762,Bill,Milner,1130 3304
763,Bill,Moseley,223 654 3526 3989
